iter	Logloss
0	0.597372685
1	0.5214713288
2	0.4609287527
3	0.4174447422
4	0.3851297535
5	0.3572533415
6	0.3359121405
7	0.3202724182
8	0.3086687463
9	0.2996646143
10	0.2917431269
11	0.284712333
12	0.2801199719
13	0.2759383716
14	0.2730674884
15	0.2701177891
16	0.2679454158
17	0.2659615314
18	0.2644835066
19	0.2631125911
20	0.2621119253
21	0.2612028344
22	0.2603163913
23	0.2594768005
24	0.2588566759
25	0.2582628003
26	0.2578574739
27	0.2574233914
28	0.2571085035
29	0.2567509751
30	0.2564504635
31	0.2562089372
32	0.2559365262
33	0.2557243182
34	0.2554736568
35	0.2552423349
36	0.2550237506
37	0.2548614841
38	0.2547158436
39	0.2545739817
40	0.2543786318
41	0.25423921
42	0.2540683306
43	0.2539656448
44	0.2538601091
45	0.2537002671
46	0.2535365898
47	0.2533634693
48	0.2532671409
49	0.2531968816
50	0.2531313858
51	0.253023017
52	0.2529493502
53	0.252834387
54	0.2527545199
55	0.2526975222
56	0.2526208677
57	0.2525685784
58	0.2524488159
59	0.2523817437
60	0.2523094787
61	0.252234286
62	0.2521883898
63	0.2521249428
64	0.2520540199
65	0.2520128691
66	0.251961174
67	0.2519101655
68	0.2518681323
69	0.2518249337
70	0.2517692592
71	0.2517302478
72	0.251696361
73	0.2516217095
74	0.2515163925
75	0.2514373953
76	0.251327836
77	0.2512940795
78	0.2512180605
79	0.2511610411
80	0.2510779045
81	0.2510626635
82	0.2510038028
83	0.2509576678
84	0.2509103921
85	0.2508909786
86	0.2508031862
87	0.2507563381
88	0.2507242921
89	0.2506949602
90	0.2506679355
91	0.2506383279
92	0.2505938242
93	0.2505758983
94	0.2505243177
95	0.2504956448
96	0.2504474169
97	0.2504247744
98	0.2503939737
99	0.2503480883
100	0.2502968674
101	0.2502733461
102	0.2502415022
103	0.2501894634
104	0.2501660436
105	0.250100269
106	0.2500831867
107	0.2500497913
108	0.2500257473
109	0.2500082285
110	0.2499916852
111	0.2499407262
112	0.2498862742
113	0.2498607672
114	0.2498146496
115	0.2497698549
116	0.2497440404
117	0.2496864566
118	0.2496544673
119	0.2496255958
120	0.2495853553
121	0.2495547105
122	0.2495075929
123	0.2494683615
124	0.2494315127
125	0.2494140654
126	0.2493984814
127	0.2493765693
128	0.249355224
129	0.2493133857
130	0.2492850769
131	0.2492403685
132	0.2492082592
133	0.2491720506
134	0.2491478267
135	0.249131445
136	0.2490917457
137	0.2490694768
138	0.249049417
139	0.2490170742
140	0.2489848925
141	0.2489595017
142	0.2489296036
143	0.2489038829
144	0.2488648429
145	0.2488261806
146	0.2487979093
147	0.2487696992
148	0.2487238252
149	0.2486947327
150	0.2486753336
151	0.248673961
152	0.2486445216
153	0.2486085241
154	0.2485749841
155	0.2485486305
156	0.2485473175
157	0.2485240642
158	0.248505976
159	0.2484833621
160	0.2484632707
161	0.2484432766
162	0.2484203557
163	0.2483937231
164	0.2483718572
165	0.2483705644
166	0.2483523619
167	0.2483291377
168	0.2482980448
169	0.2482650999
170	0.2482465119
171	0.2482454438
172	0.2482137701
173	0.2481855787
174	0.2481459715
175	0.2481075159
176	0.2480831706
177	0.2480617768
178	0.2480182877
179	0.2479994265
180	0.2479748109
181	0.2479445465
182	0.2479290393
183	0.2479126942
184	0.2478897868
185	0.247862933
186	0.2478246282
187	0.2478136632
188	0.247795159
189	0.2477785692
190	0.2477596772
191	0.2477587583
192	0.2477364265
193	0.2477212514
194	0.2476987157
195	0.2476781644
196	0.2476641088
197	0.2476456306
198	0.247630778
199	0.2475984563
200	0.2475810887
201	0.2475636821
202	0.2475430538
203	0.247521703
204	0.2475013126
205	0.2474717436
206	0.2474622987
207	0.2474457601
208	0.2474448915
209	0.2474274243
210	0.2474076124
211	0.2473887573
212	0.2473705266
213	0.2473519886
214	0.2473373148
215	0.2472994105
216	0.2472850413
217	0.247271546
218	0.2472512309
219	0.2472292152
220	0.2472284556
221	0.2472025478
222	0.2471789052
223	0.2471570522
224	0.2471421078
225	0.2471154027
226	0.2471046215
227	0.2470880963
228	0.2470751067
229	0.2470565066
230	0.2470407053
231	0.247015745
232	0.2470008238
233	0.2469892898
234	0.2469758245
235	0.2469628485
236	0.2469441897
237	0.2469341575
238	0.2469208111
239	0.2469102325
240	0.2468902672
241	0.2468777044
242	0.2468662955
243	0.2468516645
244	0.2468348587
245	0.2468089857
246	0.2467909404
247	0.2467827434
248	0.2467672203
249	0.2467516636
250	0.2467227362
251	0.2467109214
252	0.2466962551
253	0.246676908
254	0.2466762185
255	0.2466474181
256	0.2466305498
257	0.2466178269
258	0.2465994337
259	0.2465951198
260	0.2465784149
261	0.2465642912
262	0.2465515826
263	0.2465413216
264	0.2465165767
265	0.2464885074
266	0.246470232
267	0.2464509034
268	0.2464340845
269	0.2464096182
270	0.2463961787
271	0.2463801988
272	0.2463602318
273	0.2463436904
274	0.2463203036
275	0.2462943975
276	0.2462674326
277	0.2462447775
278	0.2462323491
279	0.2462305579
280	0.2462044072
281	0.2461902528
282	0.246162955
283	0.2461520643
284	0.2461514995
285	0.2461306802
286	0.2461102118
287	0.2460989124
288	0.246088422
289	0.2460834306
290	0.2460599426
291	0.2460416435
292	0.2460277996
293	0.2460067619
294	0.2460062993
295	0.2459936115
296	0.2459757138
297	0.2459455625
298	0.2459289218
299	0.2459178778
300	0.2458905783
301	0.2458823656
302	0.2458667646
303	0.2458461371
304	0.2458272074
305	0.2458134637
306	0.2458027718
307	0.2457874949
308	0.2457803584
309	0.2457618738
310	0.2457469313
311	0.2457218962
312	0.2456987897
313	0.2456776751
314	0.2456581447
315	0.2456488517
316	0.245636831
317	0.2456243078
318	0.2456036034
319	0.2455860082
320	0.2455712666
321	0.2455494617
322	0.2455336158
323	0.2455100613
324	0.2454856195
325	0.2454708395
326	0.245458269
327	0.2454503563
328	0.245450014
329	0.2454270601
330	0.2454100727
331	0.2453943697
332	0.2453770007
333	0.2453624603
334	0.2453493459
335	0.2453409972
336	0.2453302221
337	0.2453197222
338	0.2453054563
339	0.2452860164
340	0.245272249
341	0.2452513773
342	0.2452298225
343	0.2452079302
344	0.245202139
345	0.2451873046
346	0.2451681814
347	0.2451499697
348	0.2451312788
349	0.245118587
350	0.245107029
351	0.2450887956
352	0.2450721964
353	0.245056372
354	0.2450513272
355	0.245050953
356	0.2450418019
357	0.2450335466
358	0.245020066
359	0.2450060567
360	0.2449879285
361	0.2449705862
362	0.2449628654
363	0.2449431108
364	0.244942748
365	0.2449280457
366	0.2449173231
367	0.2449019668
368	0.2448859455
369	0.2448850542
370	0.2448673923
371	0.2448555958
372	0.2448478246
373	0.2448365165
374	0.244827022
375	0.2448031589
376	0.244785081
377	0.2447694136
378	0.2447643091
379	0.2447522651
380	0.2447373655
381	0.2447266452
382	0.2447076554
383	0.2446886492
384	0.244680574
385	0.2446581314
386	0.244641059
387	0.2446233408
388	0.2446099042
389	0.2445983208
390	0.2445771429
391	0.2445616413
392	0.2445491443
393	0.2445375347
394	0.2445180803
395	0.2445029946
396	0.2444855961
397	0.2444624704
398	0.2444486826
399	0.2444372785
400	0.2444209959
401	0.2444017152
402	0.2443928243
403	0.2443750507
404	0.2443538697
405	0.2443463757
406	0.2443336723
407	0.2443168408
408	0.2443006427
409	0.2442920763
410	0.2442826321
411	0.2442657248
412	0.2442651238
413	0.2442521758
414	0.2442402371
415	0.2442325067
416	0.2442322415
417	0.2442205601
418	0.2442025484
419	0.2441851431
420	0.2441723358
421	0.2441593015
422	0.24415251
423	0.2441336483
424	0.2441142278
425	0.2441009078
426	0.2440851356
427	0.2440738439
428	0.2440601547
429	0.24404306
430	0.2440262104
431	0.2440184576
432	0.2440008373
433	0.2439801099
434	0.2439654639
435	0.2439418825
436	0.2439357369
437	0.2439166291
438	0.2439054406
439	0.2438868064
440	0.243871302
441	0.2438624589
442	0.2438516484
443	0.2438418893
444	0.243836222
445	0.2438249493
446	0.2438099475
447	0.2437980191
448	0.2437867434
449	0.2437712261
450	0.243755137
451	0.24374595
452	0.2437334547
453	0.2437226448
454	0.2437166331
455	0.2437001522
456	0.2436858427
457	0.2436732632
458	0.243666279
459	0.2436464898
460	0.2436326064
461	0.2436221279
462	0.2436046667
463	0.2435876015
464	0.2435725115
465	0.2435565266
466	0.2435470061
467	0.2435206299
468	0.2435086857
469	0.2434912527
470	0.2434747769
471	0.2434660739
472	0.2434452216
473	0.2434316797
474	0.2434225442
475	0.2434108941
476	0.2433893547
477	0.2433815707
478	0.2433708389
479	0.2433631354
480	0.2433600664
481	0.2433450363
482	0.2433309939
483	0.2433222623
484	0.2433046692
485	0.243283685
486	0.2432697785
487	0.2432583842
488	0.2432431541
489	0.243222092
490	0.2432075001
491	0.2431918401
492	0.2431750102
493	0.2431603732
494	0.2431461701
495	0.2431384063
496	0.2431381191
497	0.243122175
498	0.2431096493
499	0.2431001647
