iter	Passed	Remaining
0	18	8986
1	35	8946
2	51	8607
3	67	8428
4	82	8141
5	97	8040
6	112	7938
7	128	7885
8	144	7896
9	161	7934
10	177	7905
11	193	7858
12	207	7773
13	222	7718
14	236	7658
15	251	7614
16	267	7607
17	283	7581
18	297	7526
19	314	7542
20	328	7495
21	345	7498
22	359	7450
23	375	7447
24	392	7451
25	407	7420
26	423	7413
27	437	7383
28	453	7363
29	468	7338
30	482	7301
31	500	7313
32	517	7319
33	531	7284
34	546	7265
35	561	7234
36	577	7222
37	592	7204
38	608	7187
39	625	7194
40	641	7183
41	656	7155
42	672	7145
43	685	7103
44	702	7098
45	717	7077
46	734	7078
47	752	7087
48	768	7072
49	786	7076
50	799	7041
51	817	7042
52	831	7013
53	847	6999
54	864	6997
55	879	6970
56	894	6950
57	909	6934
58	924	6909
59	939	6890
60	956	6885
61	972	6869
62	985	6835
63	1000	6812
64	1016	6805
65	1032	6792
66	1049	6779
67	1063	6758
68	1080	6746
69	1096	6732
70	1112	6719
71	1127	6702
72	1143	6690
73	1158	6667
74	1176	6664
75	1194	6664
76	1209	6644
77	1225	6632
78	1241	6614
79	1256	6595
80	1274	6595
81	1291	6585
82	1308	6574
83	1331	6595
84	1349	6588
85	1363	6561
86	1377	6540
87	1392	6518
88	1405	6491
89	1421	6476
90	1438	6466
91	1455	6453
92	1468	6428
93	1482	6401
94	1499	6391
95	1512	6364
96	1526	6342
97	1542	6327
98	1556	6304
99	1570	6281
100	1587	6271
101	1604	6262
102	1622	6254
103	1638	6240
104	1657	6233
105	1671	6213
106	1687	6199
107	1704	6185
108	1720	6173
109	1736	6156
110	1752	6141
111	1770	6135
112	1786	6119
113	1804	6110
114	1823	6106
115	1839	6088
116	1855	6074
117	1869	6053
118	1884	6032
119	1900	6016
120	1914	5996
121	1932	5986
122	1949	5974
123	1966	5962
124	1980	5940
125	1995	5923
126	2009	5902
127	2023	5879
128	2039	5865
129	2056	5851
130	2068	5827
131	2083	5807
132	2098	5790
133	2113	5772
134	2129	5757
135	2145	5742
136	2160	5724
137	2176	5709
138	2192	5694
139	2208	5679
140	2226	5669
141	2243	5655
142	2259	5640
143	2274	5621
144	2290	5607
145	2308	5596
146	2323	5579
147	2339	5565
148	2357	5553
149	2372	5535
150	2388	5520
151	2406	5508
152	2422	5494
153	2436	5474
154	2452	5459
155	2469	5444
156	2485	5429
157	2498	5408
158	2514	5392
159	2531	5378
160	2547	5364
161	2564	5350
162	2581	5336
163	2595	5318
164	2613	5305
165	2629	5290
166	2645	5275
167	2662	5261
168	2675	5240
169	2689	5221
170	2706	5208
171	2723	5193
172	2740	5180
173	2755	5163
174	2772	5148
175	2787	5130
176	2801	5113
177	2820	5102
178	2839	5092
179	2858	5082
180	2875	5067
181	2891	5052
182	2908	5038
183	2925	5023
184	2942	5009
185	2960	4997
186	2976	4982
187	2993	4968
188	3010	4954
189	3026	4938
190	3042	4922
191	3058	4906
192	3074	4890
193	3091	4876
194	3108	4861
195	3122	4842
196	3138	4826
197	3154	4810
198	3170	4796
199	3187	4781
200	3203	4766
201	3220	4750
202	3236	4735
203	3250	4717
204	3267	4701
205	3284	4687
206	3302	4674
207	3320	4660
208	3335	4644
209	3353	4630
210	3369	4615
211	3387	4601
212	3403	4586
213	3418	4569
214	3432	4549
215	3447	4533
216	3465	4519
217	3481	4504
218	3495	4484
219	3511	4469
220	3527	4453
221	3541	4434
222	3557	4419
223	3573	4402
224	3589	4387
225	3604	4369
226	3621	4354
227	3634	4335
228	3650	4320
229	3666	4304
230	3683	4289
231	3698	4272
232	3715	4257
233	3732	4242
234	3749	4227
235	3765	4211
236	3781	4196
237	3797	4180
238	3811	4161
239	3829	4148
240	3846	4133
241	3863	4118
242	3879	4102
243	3894	4085
244	3910	4070
245	3925	4053
246	3942	4038
247	3960	4024
248	3979	4011
249	3998	3998
250	4016	3984
251	4034	3970
252	4054	3957
253	4070	3941
254	4086	3925
255	4104	3911
256	4121	3896
257	4137	3880
258	4153	3864
259	4168	3848
260	4185	3832
261	4203	3818
262	4220	3802
263	4235	3786
264	4250	3768
265	4264	3751
266	4277	3732
267	4293	3716
268	4311	3702
269	4327	3686
270	4342	3669
271	4359	3654
272	4377	3639
273	4393	3623
274	4411	3609
275	4428	3594
276	4443	3577
277	4459	3561
278	4476	3545
279	4492	3529
280	4507	3512
281	4524	3497
282	4541	3482
283	4558	3466
284	4573	3450
285	4588	3433
286	4605	3418
287	4629	3408
288	4653	3397
289	4674	3384
290	4691	3369
291	4708	3353
292	4725	3338
293	4741	3322
294	4757	3306
295	4775	3291
296	4793	3276
297	4811	3261
298	4828	3246
299	4846	3231
300	4863	3215
301	4879	3199
302	4896	3183
303	4914	3168
304	4930	3152
305	4946	3136
306	4963	3120
307	4980	3104
308	4997	3089
309	5014	3073
310	5028	3055
311	5043	3038
312	5062	3024
313	5079	3008
314	5097	2993
315	5114	2977
316	5131	2962
317	5147	2946
318	5164	2930
319	5179	2913
320	5196	2897
321	5211	2881
322	5227	2864
323	5244	2848
324	5262	2833
325	5278	2817
326	5295	2801
327	5313	2786
328	5329	2770
329	5343	2752
330	5360	2736
331	5373	2718
332	5389	2702
333	5404	2686
334	5418	2668
335	5434	2652
336	5451	2636
337	5468	2620
338	5484	2604
339	5500	2588
340	5517	2572
341	5532	2555
342	5548	2539
343	5565	2523
344	5581	2507
345	5598	2491
346	5618	2477
347	5635	2461
348	5653	2446
349	5670	2430
350	5687	2414
351	5704	2398
352	5719	2381
353	5734	2365
354	5750	2348
355	5765	2332
356	5782	2316
357	5799	2300
358	5816	2284
359	5833	2268
360	5850	2252
361	5864	2235
362	5880	2219
363	5898	2203
364	5914	2187
365	5930	2171
366	5946	2155
367	5963	2138
368	5979	2122
369	5996	2106
370	6011	2090
371	6027	2074
372	6045	2058
373	6063	2042
374	6079	2026
375	6097	2011
376	6112	1994
377	6129	1978
378	6145	1961
379	6161	1945
380	6175	1928
381	6191	1912
382	6208	1896
383	6227	1881
384	6246	1865
385	6262	1849
386	6280	1833
387	6295	1817
388	6312	1801
389	6328	1785
390	6345	1768
391	6360	1752
392	6376	1736
393	6393	1720
394	6413	1704
395	6431	1689
396	6447	1672
397	6464	1656
398	6479	1640
399	6495	1623
400	6513	1608
401	6527	1591
402	6543	1575
403	6561	1559
404	6579	1543
405	6596	1527
406	6613	1511
407	6629	1494
408	6646	1478
409	6663	1462
410	6680	1446
411	6697	1430
412	6713	1414
413	6729	1397
414	6745	1381
415	6762	1365
416	6777	1349
417	6794	1332
418	6807	1316
419	6821	1299
420	6839	1283
421	6856	1267
422	6874	1251
423	6890	1235
424	6907	1218
425	6924	1202
426	6937	1186
427	6956	1170
428	6969	1153
429	6983	1136
430	6999	1120
431	7016	1104
432	7032	1088
433	7046	1071
434	7064	1055
435	7080	1039
436	7097	1023
437	7114	1007
438	7130	990
439	7145	974
440	7162	958
441	7178	942
442	7196	925
443	7213	909
444	7230	893
445	7248	877
446	7263	861
447	7281	845
448	7296	828
449	7316	812
450	7332	796
451	7350	780
